,video_title,video_like,video_forward,video_comment,video_user,video_fans,video_whole_like,video_comment_male_rate,video_url,video_comment_female_rate,goods_name,goods_price,goods_money_rate,goods_whole_sale,goods_month_sale,goods_thirty_days_transfer_rate,goods_thirty_days_video_num,goods_thirty_days_recommend_person_num,bgm
0,气质这一块，三妹没服过谁！我会告诉你，有了这个水杯，我的饮水量是平时的2倍？#超大水杯,1.3w,398,486,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 9.38%,https://www.iesdouyin.com/share/video/6851567104936774912/?region=CN&mid=6835216116088834055&u_code=2djli2cd0k9l&titleType=title,90.63% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,漂洋过海来看你 (DJ訫明) - DJ
1,爬个山，旅个游带上她，难道不香吗？#超大水杯 @DOU+小助手,920,31,32,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 5.56%,https://www.iesdouyin.com/share/video/6851955904649121024/?region=CN&mid=6851955895828482830&u_code=0&titleType=title,94.44% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,星月糖 (片段) - 黎林添娇
2,这个水杯很哇塞！不服来辩#超大水杯 @DOU+小助手,418,10,22,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 12.50%,https://www.iesdouyin.com/share/video/6851944582175935759/?region=CN&mid=6851944594398448392&u_code=0&titleType=title,87.50% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,New Project Vol.3 - DJ
3,一个让人感动的杯子，不服来辩#超大水杯 @DOU+小助手,728,27,35,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 10.71%,https://www.iesdouyin.com/share/video/6851931175955500303/?region=CN&mid=6851931195509738254&u_code=0&titleType=title,89.29% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,卜卦 (咚鼓版) - 小猫多鱼
4,劳工什么的都无所谓，水杯没丢就行！#夫妻 @DOU+小助手,308,4,12,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 10.00%,https://www.iesdouyin.com/share/video/6851913142037908736/?region=CN&mid=6851913861567007496&u_code=0&titleType=title,90.00% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,牛在飞 - 张冬玲
5,这十六年来，苦过，累过，哭过，笑过，但我从未口渴过！#超大水杯 @DOU+小助手,252,7,16,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 38.46%,https://www.iesdouyin.com/share/video/6851902945848610063/?region=CN&mid=6851902963399215885&u_code=0&titleType=title,61.54% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,你的答案 - 阿冗
6,没错，我就是那个杯子，隔壁老王用了后饮水量是平时的3倍，连闺蜜静静都深层补水了呢！#超大水杯 @DOU+小助手,13.2w,"1,989","4,907",和谐三妹严选（大牌直播月）,19.6w,32.4w,男 10.43%,https://www.iesdouyin.com/share/video/6851874583318908171/?region=CN&mid=6851874623278107406&u_code=0&titleType=title,89.57% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,Back In Black - AC/DC
7,这个杯子，很哇塞！#超大水杯 @DOU+小助手,840,28,33,和谐三妹严选（大牌直播月）,19.6w,32.4w,男 6.25%,https://www.iesdouyin.com/share/video/6851934597094067456/?region=CN&mid=6851934597619059464&u_code=0&titleType=title,93.75% 女,三妹严选TCSJ0809大容量水杯1450ml,¥29.90,0.00%,5.9万,5万,3.61%,9,9,口水说唱上头旋律 (Remix) - 寐加岛
8,超顺滑的,170,2,5,奋斗的茜姐姐😊,6.2w,22.1w,男 25.00%,https://www.iesdouyin.com/share/video/6849880191188225287/?region=CN&mid=6849880206321568525&u_code=2kf5297ik08g&titleType=title,75.00% 女,滑溜溜发膜,¥19.90,0.00%,3.9万,3.8万,15.16%,20,20,雨中的恋人们 (Live片段) - XIN
9,很好用的一款发膜，代替护发素哦,15,0,0,不一样的旅途,8.2w,34.7w,男 100.00%,https://www.iesdouyin.com/share/video/6849035259422543111/?region=CN&mid=6849035141147347725&u_code=44ifkmg7fhel&titleType=title,0.00% 女,滑溜溜发膜,¥19.90,0.00%,3.9万,3.8万,15.16%,20,20,蓝色海黑色河 (DJ版) - 69
